year,ave_minage,count
1960,7.380952381,21
1961,8.727272727,11
1962,10,19
1963,8.5,14
1964,8.37037037,27
1965,7.3125,32
1966,6.277777778,18
1967,7.379310345,29
1968,6.846153846,26
1969,7.972972973,37
1970,6.525,40
1971,9.463414634,41
1972,8.907894737,76
1973,8.906976744,86
1974,9.226666667,75
1975,9.06870229,131
1976,9.411764706,85
1977,9.3671875,128
1978,9.439655172,116
1979,10.01935484,155
1980,9.524475524,143
1981,10.11864407,177
1982,8.948387097,155
1983,9.276315789,152
1984,10.22627737,137
1985,9.912280702,171
1986,9.756906077,181
1987,9.978021978,182
1988,8.648484848,165
1989,9.351190476,168
1990,9.807017544,171
1991,9.19138756,209
1992,9.908,250
1993,9.344036697,218
1994,9.445454545,220
1995,9.232209738,267
1996,9.388278388,273
1997,9.260869565,276
1998,9.501567398,319
1999,9.434173669,357
2000,9.492424242,396
2001,9.437054632,421
2002,9.215827338,417
2003,9.431761787,403
2004,9.424430642,483
2005,9.510242086,537
2006,9.22244489,499
2007,8.229126214,515
2008,7.169340463,561
2009,8.885057471,609
2010,9.314925373,670
2011,9.106082037,707
2012,9.506988564,787
2013,9.818404908,815
2014,9.640807651,941
2015,9.953703704,1080
2016,10.18297872,1175
2017,10.28303495,1173
2018,10.21071753,1101
2019,10.7771011,821
